,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
1082,1083,fındık kırmak,fındık kıracaksın,sexual activity,başka bi dünya nasıl desem koşullar ne olursa olsun seveceksin vazgeçmeyeceksin ....... emekliliğinde de s2nde fındık kıracaksın anlatılmaz yaşanır dostum iyi düşün iyi karar ver... sendeki bu imkân bende olsa kesinlikle askeriye derdim Babam da,başka bi dünya nasıl desem koşullar ne olursa olsun seveceksin vazgeçmeyeceksin  emekliliğinde de snde fındık kıracaksın anlatılmaz yaşanır dostum iyi düşün iyi karar ver sendeki bu imkn bende olsa kesinlikle askeriye derdim babam da,245,35,başka bi dünya nasıl desem koşullar ne olursa olsun seveceksin vazgeçmeyeceksin ....... emekliliğinde de s2nde [PET_BOUNDARY]fındık kıracaksın[PET_BOUNDARY] anlatılmaz yaşanır dostum iyi düşün iyi karar ver... sendeki bu imkân bende olsa kesinlikle askeriye derdim Babam da,1,sometimes_euph
34,35,aybaşı,aybaşı,bodily functions,"""Bronşit selülit  , saç , aybaşı , güneş yanması , yüksek tansiyon , ödem  , romatizma gibi rahatsızlıklara iyi gelmektedir .""","""bronşit selülit  saç aybaşı güneş yanması yüksek tansiyondem  romatizma gibi rahatsızlıklara iyi gelmektedir",109,13,"""Bronşit selülit , saç, [PET_BOUNDARY]aybaşı[PET_BOUNDARY], güneş yanması, yüksek tansiyon, ödem , romatizma gibi rahatsızlıklara iyi gelmektedir.""",1,sometimes_euph
1549,1550,abdest bozmak,abdest bozmayı,bodily functions,"göstermektedir. Ravi, anlattığına göre, müşrikler kendisine: ""Sizin arkadaşınızın (sav) sizlere helada abdest bozmayı bile öğrettiğini görüyoruz"" demişlerdir. O da onlara şöyle cevap vermiştir: ""Evet, doğrudur. Resulümüz (sav), bizi",göstermektedir ravi anlattığına göre müşrikler kendisine sizin arkadaşınızın sav sizlere helada abdest bozmayı bile öğrettiğini görüyoruz demişlerdir o da onlara şöyle cevap vermiştir evet doğrudur resulümüz sav bizi,232,28,"göstermektedir. Ravi, anlattığına göre, müşrikler kendisine: ""Sizin arkadaşınızın (sav) sizlere helada [PET_BOUNDARY]abdest bozmayı[PET_BOUNDARY] bile öğrettiğini görüyoruz"" demişlerdir. O da onlara şöyle cevap vermiştir: ""Evet, doğrudur. Resulümüz (sav), bizi",1,sometimes_euph
330,331,göğüs,göğüs,physical/mental attributes,"Vodafone Arena ile beraber yeni sezona daha güçlü planları içinde olan Beşiktaş, forma sponsorunu da değiştirecek. Geride kalan sezonda formanın göğüs reklamında Toyota yer alıyordu. Yeni sezonda ise siyah-beyazlıların ana sponsoru olan Vodafone reklamı formada yer alacak. Beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. Klasik çubuklu formanın farklı dizaynı göze çarpmakta. İşte Beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (Eurosport)","vodafone arena ile beraber yeni sezona daha güçlü planları içinde olan beşiktaş, forma sponsorunu da değiştirecek. geride kalan sezonda formanın göğüs reklamında toyota yer alıyordu. yeni sezonda ise siyah-beyazlıların ana sponsoru olan vodafone reklamı formada yer alacak. beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. klasik çubuklu formanın farklı dizaynı göze çarpmakta. i̇şte beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (eurosport)",466,63,"Vodafone Arena ile beraber yeni sezona daha güçlü planları içinde olan Beşiktaş, forma sponsorunu da değiştirecek. Geride kalan sezonda formanın [PET_BOUNDARY]göğüs[PET_BOUNDARY] reklamında Toyota yer alıyordu. Yeni sezonda ise siyah - beyazlıların ana sponsoru olan Vodafone reklamı formada yer alacak. Beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. Klasik çubuklu formanın farklı dizaynı göze çarpmakta. İşte Beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (Eurosport)",0,sometimes_euph
1586,1587,abdest bozmak,abdest bozana,bodily functions,"ise vaciptir. Görülüyor ki selâmı vermek de almak da bir ibadettir. Abdest bozarken ibadet yapılamayacağına göre abdest bozana selam da verilemez. Faraza birisi abdest bozan birine selam vermiş olsa Mü'min ihtiyacını gördükten sonra ""Ve'",ise vaciptir görülüyor ki selmı vermek de almak da bir ibadettir abdest bozarken ibadet yapılamayacağına göre abdest bozana selam da verilemez faraza birisi abdest bozan birine selam vermiş olsa mümin ihtiyacını gördükten sonra ve,237,34,"ise vaciptir. Görülüyor ki selâmı vermek de almak da bir ibadettir. Abdest bozarken ibadet yapılamayacağına göre [PET_BOUNDARY]abdest bozana[PET_BOUNDARY] selam da verilemez. Faraza birisi abdest bozan birine selam vermiş olsa Mü'min ihtiyacını gördükten sonra ""Ve'",1,sometimes_euph
989,990,madde,madde,substances,823143	Son yıllarda özellikle gençlerin esrar ya da benzeri madde kullanımı da ruhsal hastalıkları tetiklemektedir.,son yıllardazellikle gençlerin esrar ya da benzeri madde kullanımı da ruhsal hastalıkları tetiklemektedir.,107,13,823143        Son yıllarda özellikle gençlerin esrar ya da benzeri [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımı da ruhsal hastalıkları tetiklemektedir.,1,sometimes_euph
649,650,madde,madde,substances,"Ataşehir'de ünlü bir lokantada geçen cumartesi günü meydana gelen Avukat Işıl G.'nin 3 yaşındaki oğlu Y.K.'nin oyun yerinde üzerine asitli bir madde atılması olayı öncesinde başına başka bir talihsizliğin daha geldiği ortaya çıktı. Minik Y.K.'nin, daha önce de evinde uzaktan kumandalı oyuncak arabasının patladığı ve yaralandığı öğrenildi. Asitli saldırgan aileden","ataşehir'de ünlü bir lokantada geçen cumartesi günü meydana gelen avukat işıl g.'nin 3 yaşındaki oğlu y.k.'nin oyun yerinde üzerine asitli bir madde atılması olayı öncesinde başına başka bir talihsizliğin daha geldiği ortaya çıktı. minik y.k.'nin, daha önce de evinde uzaktan kumandalı oyuncak arabasının patladığı ve yaralandığı öğrenildi. asitli saldırgan aileden",365,50,"Ataşehir'de ünlü bir lokantada geçen cumartesi günü meydana gelen Avukat Işıl G.'nin 3 yaşındaki oğlu Y.K.'nin oyun yerinde üzerine asitli bir [PET_BOUNDARY]madde[PET_BOUNDARY] atılması olayı öncesinde başına başka bir talihsizliğin daha geldiği ortaya çıktı. Minik Y.K.'nin, daha önce de evinde uzaktan kumandalı oyuncak arabasının patladığı ve yaralandığı öğrenildi. Asitli saldırgan aileden",0,sometimes_euph
1533,1534,uyutmak,uyutuldu,death,"köpekle boğuşurken polisi aramayı da başardı. Olay yerine gelen polislerin vurarak yaraladıkları köpek daha sonra uyutuldu . Kafası, yüzü, eli ve ayaklarından yaralanan küçük kız ise hastanede tedavi altına alındı. "" Buradasınız Home """,köpekle boğuşurken polisi aramayı da başardı olay yerine gelen polislerin vurarak yaraladıkları köpek daha sonra uyutuldu  kafası yüzü eli ve ayaklarından yaralanan küçük kız ise hastanede tedavi altına alındı  buradasınız home,235,34,"köpekle boğuşurken polisi aramayı da başardı. Olay yerine gelen polislerin vurarak yaraladıkları köpek daha sonra [PET_BOUNDARY]uyutuldu[PET_BOUNDARY]. Kafası, yüzü, eli ve ayaklarından yaralanan küçük kız ise hastanede tedavi altına alındı. "" Buradasınız Home """,1,sometimes_euph
929,930,kurban gitmek,kurban gittiği,death,"201975	Bu ilkel adalet anlayışıyla, Ermeni Devrimci Federasyonu (ARF) tarafından 1920 ve 1922 yılları arasında çok sayıda Türk ve Azeri siyasi ve askeri şahsiyetin cinayete kurban gittiği bir suikast kampanyası yürütüldü.","	bu ilkel adalet anlayışıyla, ermeni devrimci federasyonuarf) tarafından  ve  yılları arasındaok sayıda türk ve azeri siyasi ve askeriahsiyetin cinayete kurban gittiği bir suikast kampanyası yürütüldü.",201,25,"201975        Bu ilkel adalet anlayışıyla, Ermeni Devrimci Federasyonu (ARF) tarafından 1920 ve 1922 yılları arasında çok sayıda Türk ve Azeri siyasi ve askeri şahsiyetin cinayete [PET_BOUNDARY]kurban gittiği[PET_BOUNDARY] bir suikast kampanyası yürütüldü.",1,sometimes_euph
1941,1942,seks işçisi,seks işçisi,sexual activity,"edebilirsiniz, İspanya'da Eskişehir Escort olarak çalışmak ayıp olmayan, normal bir şey mi? Aslında İspanya'da seks işçisi olmak pek hoş karşılanan bir şey değil. Ama kim nereden bilebilir ki Türkiye'de böyle bir şey yaptığımı. En",edebilirsiniz ispanyada eskişehir escort olarak çalışmak ayıp olmayan normal bir şey mi aslında ispanyada seks işçisi olmak pek hoş karşılanan bir şey değil ama kim nereden bilebilir ki türkiyede böyle bir şey yaptığımı en,230,34,"edebilirsiniz, İspanya'da Eskişehir Escort olarak çalışmak ayıp olmayan, normal bir şey mi? Aslında İspanya'da [PET_BOUNDARY]seks işçisi[PET_BOUNDARY] olmak pek hoş karşılanan bir şey değil. Ama kim nereden bilebilir ki Türkiye'de böyle bir şey yaptığımı. En",1,always_euph
1252,1253,hacet görmek,hacet görmez,bodily functions,"ve gece istirahatinizi temine nasıl muvafıktır. Çünkü artık bunları görüp, düşünen akıl sahibi olan başka delile hacet görmez . Zira Allah'ın birliğine, kudret sahibi olduğuna delil ve ispata bunlar kafi gelir, demektir. Yani, zat-ı",ve gece istirahatinizi temine nasıl muvafıktır çünkü artık bunları görüp düşünen akıl sahibi olan başka delile hacet görmez  zira allahın birliğine kudret sahibi olduğuna delil ve ispata bunlar kafi gelir demektir yani zatı,232,34,"ve gece istirahatinizi temine nasıl muvafıktır. Çünkü artık bunları görüp, düşünen akıl sahibi olan başka delile [PET_BOUNDARY]hacet görmez[PET_BOUNDARY]. Zira Allah'ın birliğine, kudret sahibi olduğuna delil ve ispata bunlar kafi gelir, demektir. Yani, zat-ı",0,sometimes_euph
1310,1311,iki canlı,iki canlı,bodily functions,"değildir: ""kökünden kazınması... ""; ""Halk Partisi uru bu vatanın ciğerinden nasıl sökülebilir? ""; ""muhalefetteki iki canlı partinin (AP ve MHP) bütün canlarını tek mihrakta toplayıp CHP üzerine bir ölüm ışığı yöneltmek ve onun sahte canını",değildir kökünden kazınması  halk partisi uru bu vatanın ciğerinden nasıl sökülebilir  muhalefetteki iki canlı partinin ap ve mhp bütün canlarını tek mihrakta toplayıp chp üzerine bir ölüm ışığı yöneltmek ve onun sahte canını,239,35,"değildir: ""kökünden kazınması... ""; ""Halk Partisi uru bu vatanın ciğerinden nasıl sökülebilir? ""; ""muhalefetteki [PET_BOUNDARY]iki canlı[PET_BOUNDARY] partinin (AP ve MHP) bütün canlarını tek mihrakta toplayıp CHP üzerine bir ölüm ışığı yöneltmek ve onun sahte canını",0,sometimes_euph
2108,2109,ihtiyaç gidermek,ihtiyaçların giderilmesi,bodily functions,daha hızlı bir şekilde ulaşma imkanımız olmaktadır. Ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu ihtiyaçların giderilmesi için de yeterli yardıma. Biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,daha hızlı bir şekilde ulaşma imkanımız olmaktadır ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu ihtiyaçların giderilmesi için de yeterli yardıma biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,249,35,daha hızlı bir şekilde ulaşma imkanımız olmaktadır. Ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu [PET_BOUNDARY]ihtiyaçların giderilmesi[PET_BOUNDARY] için de yeterli yardıma. Biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,0,sometimes_euph
887,888,yoksul,yoksulluk,employment/finances,"Türkiye Kamu-Sen Konfederasyonu, Temmuz ayı Açlık-Yoksulluk Sınırı Araştırması'nı açıkladı. Araştırmaya göre, Temmuz ayında ailenin gıda ve giyim harcamaları azalırken, haberleşme, kira ve ulaşım harcamaları arttı. Bir ailenin açlık sınırının bin 69 TL olduğu belirlenirken, yoksulluk sınırı ise 2 bin 803 TL olarak hesaplandı. Çalışan tek kişinin yoksulluk sınırı bin 400 TL oldu. Dört kişilik bir ailenin aylık gıda harcamasının 608 TL, ortalama kira giderinin ise 466 TL olduğu belirlendi.","türkiye kamu-sen konfederasyonu, temmuz ayı açlık-yoksulluk sınırı araştırması'nı açıkladı. araştırmaya göre, temmuz ayında ailenin gıda ve giyim harcamaları azalırken, haberleşme, kira ve ulaşım harcamaları arttı. bir ailenin açlık sınırının bin 69 tl olduğu belirlenirken, yoksulluk sınırı ise 2 bin 803 tl olarak hesaplandı. çalışan tek kişinin yoksulluk sınırı bin 400 tl oldu. dört kişilik bir ailenin aylık gıda harcamasının 608 tl, ortalama kira giderinin ise 466 tl olduğu belirlendi.",492,69,"Türkiye Kamu - Sen Konfederasyonu, Temmuz ayı Açlık - [PET_BOUNDARY]Yoksulluk[PET_BOUNDARY] Sınırı Araştırması'nı açıkladı. Araştırmaya göre, Temmuz ayında ailenin gıda ve giyim harcamaları azalırken, haberleşme, kira ve ulaşım harcamaları arttı. Bir ailenin açlık sınırının bin 69 TL olduğu belirlenirken, yoksulluk sınırı ise 2 bin 803 TL olarak hesaplandı. Çalışan tek kişinin yoksulluk sınırı bin 400 TL oldu. Dört kişilik bir ailenin aylık gıda harcamasının 608 TL, ortalama kira giderinin ise 466 TL olduğu belirlendi.",1,sometimes_euph
1532,1533,uyutmak,uyutuldu,death,"görüldü. Veteriner hekiminin müdahalesine rağmen iyileşmeyeceği öngörülen kedi, daha fazla acı çekmemesi için uyutuldu . Intragram'a girmek istediğimde instagram hesabınız çalındı uyarısı veriyor 0 Tabletime Instagram yükledim.",görüldü veteriner hekiminin müdahalesine rağmen iyileşmeyeceği öngörülen kedi daha fazla acı çekmemesi için uyutuldu  intragrama girmek istediğimde instagram hesabınız çalındı uyarısı veriyor  tabletime instagram yükledim,227,27,"görüldü. Veteriner hekiminin müdahalesine rağmen iyileşmeyeceği öngörülen kedi, daha fazla acı çekmemesi için [PET_BOUNDARY]uyutuldu[PET_BOUNDARY]. Intragram'a girmek istediğimde instagram hesabınız çalındı uyarısı veriyor 0 Tabletime Instagram yükledim.",1,sometimes_euph
1686,1687,gaz çıkarmak,gaz çıkarmak,bodily functions,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder. Sürekli gaz çıkarmak iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur. Eğer ki gaz çıkarımı ağrılı,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder sürekli gaz çıkarmak iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur eğer ki gaz çıkarımı ağrılı,241,37,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder. Sürekli [PET_BOUNDARY]gaz çıkarmak[PET_BOUNDARY] iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur. Eğer ki gaz çıkarımı ağrılı,1,sometimes_euph
1012,1013,aramızdan ayrıldı,aramızdan ayrılan,death,149648	Bir yetimhanenin kuruluş çalışmaları için gittiği Afganistan’da geçirdiği uçak kazasında aramızdan ayrılan Bahattin YILDIZ için yazılan yazılar kitaplaştırıldı.,bir yetimhanenin kuruluşalışmaları için gittiği afganistan’da geçirdiği uçak kazasında aramızdan ayrılan bahattin yildiz için yazılan yazılar kitaplaştırıldı.,159,17,149648        Bir yetimhanenin kuruluş çalışmaları için gittiği Afganistan’da geçirdiği uçak kazasında [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] Bahattin YILDIZ için yazılan yazılar kitaplaştırıldı.,1,sometimes_euph
1897,1898,hayat kadını,hayat kadınlarından,sexual activity,"bir kere yaşamanız adeta bağımlım olacağınız anlamına geliyor. Benimle beraberlik özeldir ve sektördeki diğer hayat kadınlarından daha seksi olduğumu belirtmem gerekiyor. Erotik dansları, striptiz şovlarını ve ekstra sunumları seviyorum.",bir kere yaşamanız adeta bağımlım olacağınız anlamına geliyor benimle beraberlik özeldir ve sektördeki diğer hayat kadınlarından daha seksi olduğumu belirtmem gerekiyor erotik dansları striptiz şovlarını ve ekstra sunumları seviyorum,237,29,"bir kere yaşamanız adeta bağımlım olacağınız anlamına geliyor. Benimle beraberlik özeldir ve sektördeki diğer [PET_BOUNDARY]hayat kadınlarından[PET_BOUNDARY] daha seksi olduğumu belirtmem gerekiyor. Erotik dansları, striptiz şovlarını ve ekstra sunumları seviyorum.",1,always_euph
803,804,uyutmak,uyutularak,death,"DIŞ HABERLER SERVİSİ Yakınlardaki ormanlık alandan okula girdiği tahmin edilen leopar ilk olarak havuzun yanındaki bir adamı yaraladı. Okulun içerisine ilerleyen leoparın olayı görüntülemek isteyen bir haber kameramanına da saldırdığı belirtiliyor. 10 saatlik çalışmanın ardından ilaçla uyutularak ele geçirilen leopar daha sonra doğaya salındı. Etiketler: haber , Hindistan","diş haberler servi̇si̇ yakınlardaki ormanlık alandan okula girdiği tahmin edilen leopar ilk olarak havuzun yanındaki bir adamı yaraladı. okulun içerisine ilerleyen leoparın olayı görüntülemek isteyen bir haber kameramanına da saldırdığı belirtiliyor. 10 saatlik çalışmanın ardından ilaçla uyutularak ele geçirilen leopar daha sonra doğaya salındı. etiketler: haber , hindistan",376,48,"DIŞ HABERLER SERVİSİ Yakınlardaki ormanlık alandan okula girdiği tahmin edilen leopar ilk olarak havuzun yanındaki bir adamı yaraladı. Okulun içerisine ilerleyen leoparın olayı görüntülemek isteyen bir haber kameramanına da saldırdığı belirtiliyor. 10 saatlik çalışmanın ardından ilaçla [PET_BOUNDARY]uyutularak[PET_BOUNDARY] ele geçirilen leopar daha sonra doğaya salındı. Etiketler: haber , Hindistan",0,sometimes_euph
1639,1640,fiş çekmek,fişini çektiler,death,"a da çok iş çözdürdü. Bu olaylar daha da büyümesin diye Zindaşti dosyasını kapatmak için hastanede Burhan Kuzu'nun fişini çektiler diye düşünüyorum. "" Güç bende diyenlerin hiçbir kaygı duymadan yürüttükleri mafya-siyaset ilişkiler ağının",a da çok iş çözdürdü bu olaylar daha da büyümesin diye zindaşti dosyasını kapatmak için hastanede burhan kuzunun fişini çektiler diye düşünüyorum  güç bende diyenlerin hiçbir kaygı duymadan yürüttükleri mafyasiyaset ilişkiler ağının,237,33,"a da çok iş çözdürdü. Bu olaylar daha da büyümesin diye Zindaşti dosyasını kapatmak için hastanede Burhan Kuzu'nun [PET_BOUNDARY]fişini çektiler[PET_BOUNDARY] diye düşünüyorum. "" Güç bende diyenlerin hiçbir kaygı duymadan yürüttükleri mafya-siyaset ilişkiler ağının",1,sometimes_euph
189,190,cinsel ilişkiye girmek,cinsel ilişkiye giriyor,sexual activity,Çin’den yine oldukça tuhaf bir gelenek… Düğün eğlencesine oldukça farklı bir boyut katan Çinliler yine şaşırttı. Duyanları şok eden olayda gelinle damat düğünden sonra davetlilerin yanında cinsel ilişkiye giriyor. Öyle ki davetişlerden biri gelinin örtünün altında çıkardığı iç çamaşırını adeta havada kapıyor. Çin’de gelinlere sataşmak her ne kadar bir ritüel halini almış olsa da bu gelenek şimdiye kadar yaşananlar arasında şüphesiz en tuhaf olanlardan biri... Etiketler: Çin,çin’den yine oldukça tuhaf bir gelenek… düğün eğlencesine oldukça farklı bir boyut katan çinliler yine şaşırttı. duyanları şok eden olayda gelinle damat düğünden sonra davetlilerin yanında cinsel ilişkiye giriyor. öyle ki davetişlerden biri gelinin örtünün altında çıkardığı iç çamaşırını adeta havada kapıyor. çin’de gelinlere sataşmak her ne kadar bir ritüel halini almış olsa da bu gelenek şimdiye kadar yaşananlar arasında şüphesiz en tuhaf olanlardan biri... etiketler: çin,478,67,Çin’den yine oldukça tuhaf bir gelenek… Düğün eğlencesine oldukça farklı bir boyut katan Çinliler yine şaşırttı. Duyanları şok eden olayda gelinle damat düğünden sonra davetlilerin yanında [PET_BOUNDARY]cinsel ilişkiye giriyor[PET_BOUNDARY]. Öyle ki davetişlerden biri gelinin örtünün altında çıkardığı iç çamaşırını adeta havada kapıyor. Çin’de gelinlere sataşmak her ne kadar bir ritüel halini almış olsa da bu gelenek şimdiye kadar yaşananlar arasında şüphesiz en tuhaf olanlardan biri... Etiketler: Çin,1,always_euph
1587,1588,abdest bozmak,abdesti bozulduktan,bodily functions,ve tüm sığınma dualarını okuduğu halde bunun nasıl olduğuna bir anlam veremez. Halbuki o bunları yapmıştır ama abdesti bozulduktan sonra tekrar almayı unutmuştur! Önemli: Hasta eğer çok etkili bir sihre maruz kalmışsa ya da kendisi zayıfsa şeytan,ve tüm sığınma dualarını okuduğu halde bunun nasıl olduğuna bir anlam veremez halbuki o bunları yapmıştır ama abdesti bozulduktan sonra tekrar almayı unutmuştur önemli hasta eğer çok etkili bir sihre maruz kalmışsa ya da kendisi zayıfsa şeytan,246,37,ve tüm sığınma dualarını okuduğu halde bunun nasıl olduğuna bir anlam veremez. Halbuki o bunları yapmıştır ama [PET_BOUNDARY]abdesti bozulduktan[PET_BOUNDARY] sonra tekrar almayı unutmuştur! Önemli: Hasta eğer çok etkili bir sihre maruz kalmışsa ya da kendisi zayıfsa şeytan,0,sometimes_euph
1559,1560,abdest bozmak,abdesti bozan,bodily functions,", hatta arazların türleri sınırlıdır. Meselâ akrabalar evlenilmesi mubah olan ve olmayan diye iki türe ayrılır. Yine abdesti bozan şeyler belli bir sayı ile sınırlandırılabilir ki bu durumda geri kalan hallerin abdesti bozmayacağı anlaşılmış olur",hatta arazların türleri sınırlıdır mesel akrabalar evlenilmesi mubah olan ve olmayan diye iki türe ayrılır yine abdesti bozan şeyler belli bir sayı ile sınırlandırılabilir ki bu durumda geri kalan hallerin abdesti bozmayacağı anlaşılmış olur,246,35,", hatta arazların türleri sınırlıdır. Meselâ akrabalar evlenilmesi mubah olan ve olmayan diye iki türe ayrılır. Yine [PET_BOUNDARY]abdesti bozan[PET_BOUNDARY] şeyler belli bir sayı ile sınırlandırılabilir ki bu durumda geri kalan hallerin abdesti bozmayacağı anlaşılmış olur",0,sometimes_euph
821,822,uyutmak,uyutuldu,death,"DIŞ HABERLER Kanında kuduz virüsüne rastlanan Reynolds için doktorlar, aşı için geç kalındığını ve durumun umutsuz olduğunu söyledi. İlkokul öğrencisi küçük kız koma ünitesine alınarak uyutuldu ve virüsün ilerlemesini kesici ilaç tedavisi uygulandı. 2 hafta yoğun bakımda kalan Precious’un bağışıklık sistemi tedaviye cevap vererek virüsü yenmeyi başardı. Etiketler: ABD","diş haberler kanında kuduz virüsüne rastlanan reynolds için doktorlar, aşı için geç kalındığını ve durumun umutsuz olduğunu söyledi. i̇lkokul öğrencisi küçük kız koma ünitesine alınarak uyutuldu ve virüsün ilerlemesini kesici ilaç tedavisi uygulandı. 2 hafta yoğun bakımda kalan precious’un bağışıklık sistemi tedaviye cevap vererek virüsü yenmeyi başardı. etiketler: abd",371,49,"DIŞ HABERLER Kanında kuduz virüsüne rastlanan Reynolds için doktorlar, aşı için geç kalındığını ve durumun umutsuz olduğunu söyledi. İlkokul öğrencisi küçük kız koma ünitesine alınarak [PET_BOUNDARY]uyutuldu[PET_BOUNDARY] ve virüsün ilerlemesini kesici ilaç tedavisi uygulandı. 2 hafta yoğun bakımda kalan Precious’un bağışıklık sistemi tedaviye cevap vererek virüsü yenmeyi başardı. Etiketler: ABD",0,sometimes_euph
2342,2343,hayata veda etmek,hayata veda ettiğinde,death,"yazısında ""Torunlarımıza bırakmayı hayal ettiğimiz ülke bu değildi,"" diye yazıyordu. 22 Ekim 2015'te, İstanbul'da hayata veda ettiğinde dünyanın en çok köşe yazısı yazmış yazarlarından birisiydi. Taş, Sömürücülerle Savaş, Suçlanan Yazılar, '",yazısında torunlarımıza bırakmayı hayal ettiğimiz ülke bu değildi diye yazıyordu  ekim te istanbulda hayata veda ettiğinde dünyanın en çok köşe yazısı yazmış yazarlarından birisiydi taş sömürücülerle savaş suçlanan yazılar,241,31,"yazısında ""Torunlarımıza bırakmayı hayal ettiğimiz ülke bu değildi,"" diye yazıyordu. 22 Ekim 2015'te, İstanbul'da [PET_BOUNDARY]hayata veda ettiğinde[PET_BOUNDARY] dünyanın en çok köşe yazısı yazmış yazarlarından birisiydi. Taş, Sömürücülerle Savaş, Suçlanan Yazılar, '",1,sometimes_euph
289,290,gelişmekte olan ülke,gelişmekte olan ülke,politics,"DSÖ yetkililerinden Francesco Branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. Branca, gelişmekte olan ülkelerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. Afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, Asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.","dsö yetkililerinden francesco branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. branca, gelişmekte olan ülkelerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.",494,64,"DSÖ yetkililerinden Francesco Branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. Branca, [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]lerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. Afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, Asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.",1,sometimes_euph
1448,1449,muayyen günü,muayyen gününde,bodily functions,"ilgili samimi açıklamalarda bulundu Ünlü şarkıcı Hadise, geçtiğimiz ay kendisi için ""Hadise, Eurovision'da muayyen gününde olduğu için 4. oldu"" diyen Bircan Bali hakkında tebdir kararı talebinde bulunmuştu. Ancak mahkeme şarkıcının",ilgili samimi açıklamalarda bulundu ünlü şarkıcı hadise geçtiğimiz ay kendisi için hadise eurovisionda muayyen gününde olduğu için  oldu diyen bircan bali hakkında tebdir kararı talebinde bulunmuştu ancak mahkeme şarkıcının,231,30,"ilgili samimi açıklamalarda bulundu Ünlü şarkıcı Hadise, geçtiğimiz ay kendisi için ""Hadise, Eurovision'da [PET_BOUNDARY]muayyen gününde[PET_BOUNDARY] olduğu için 4. oldu"" diyen Bircan Bali hakkında tebdir kararı talebinde bulunmuştu. Ancak mahkeme şarkıcının",1,sometimes_euph
21,22,aybaşı,aybaşı,bodily functions,"""Ancak , aybaşı kanamaları ve hamilelik döneminde kullanılmaz .""","""ancak aybaşı kanamaları ve hamilelik döneminde kullanılmaz",59,7,"""Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.""",1,sometimes_euph
